date,load_mwh
2020-01-01,304.9671415301123
2020-01-02,299.52743575920124
2020-01-03,308.2967884116874
2020-01-04,317.95951690755066
2020-01-05,301.2962366768236
2020-01-06,302.2039356435748
2020-01-07,321.24369710723283
2020-01-08,314.03065555064666
2020-01-09,302.5645263434805
2020-01-10,313.58580281399406
2020-01-11,304.42467605238534
2020-01-12,305.2976733448873
2020-01-13,313.26792841413516
2020-01-14,292.6058054312461
2020-01-15,295.3764504345735
2020-01-16,307.8862453637589
2020-01-17,304.26052572021257
2020-01-18,318.4070053614286
2020-01-19,307.05572090024606
2020-01-20,302.8798456959106
2020-01-21,332.5215411460248
2020-01-22,316.464470558839
2020-01-23,320.24946621924846
2020-01-24,306.1731861105817
2020-01-25,315.8176220271232
2020-01-26,323.2055199635351
2020-01-27,311.4150343324759
2020-01-28,327.50422715385133
2020-01-29,318.55650922918653
2020-01-30,322.45475351480223
2020-01-31,320.15634096156793
2020-02-01,345.49060374196495
2020-02-02,327.61974292007733
2020-02-03,317.9567595474717
2020-02-04,337.5305162583279
2020-02-05,317.8596601543624
2020-02-06,332.9113823405024
2020-02-07,311.9721065904514
2020-02-08,319.0242145056927
2020-02-09,335.0029568720186
2020-02-10,341.1380814742913
2020-02-11,336.17677330068534
2020-02-12,334.00669092439955
2020-02-13,332.84243612683787
2020-02-14,321.7485791135835
2020-02-15,330.0055229443307
2020-02-16,333.2573998890929
2020-02-17,349.08430853437613
2020-02-18,342.58786660233164
2020-02-19,322.14900417299333
2020-02-20,343.63692106881535
2020-02-21,337.15072015878275
2020-02-22,334.8264061177763
2020-02-23,348.29493273398606
2020-02-24,353.05901177387403
2020-02-25,352.6208132950901
2020-02-26,335.46283065841806
2020-02-27,341.29772708209407
2020-02-28,348.2250377944279
2020-02-29,355.1779752452976
2020-03-01,341.12833378614164
2020-03-02,344.5483378474222
2020-03-03,335.81359990287126
2020-03-04,335.37395112729314
2020-03-05,355.9072679637863
2020-03-06,361.7772098633595
2020-03-07,347.9142023890866
2020-03-08,359.0757114612533
2020-03-09,353.0493010909885
2020-03-10,343.36067976484645
2020-03-11,353.7910506109802
2020-03-12,365.9088649623128
2020-03-13,350.5077419545571
2020-03-14,366.8359551812692
2020-03-15,325.3015161513064
2020-03-16,360.01329632162714
2020-03-17,352.94582897309857
2020-03-18,349.3520863437061
2020-03-19,353.5122195611046
2020-03-20,332.9569650780743
2020-03-21,350.85951261021046
2020-03-22,356.83641794006917
2020-03-23,368.2387298119656
2020-03-24,348.45697796561706
2020-03-25,345.71999011065657
2020-03-26,348.93792279926674
2020-03-27,363.2453728525237
2020-03-28,357.4999871504641
2020-03-29,349.0212432856867
2020-03-30,359.54311713453234
2020-03-31,355.4580316781091
2020-04-01,364.23572743786485
2020-04-02,347.5759723510368
2020-04-03,351.3523128114171
2020-04-04,350.7254941629213
2020-04-05,340.0142876344587
2020-04-06,357.5987352617154
2020-04-07,357.2214328604854
2020-04-08,354.6206373077192
2020-04-09,352.1675560051848
2020-04-10,340.2889779005253
2020-04-11,350.15085918942617
2020-04-12,350.83020352083986
2020-04-13,346.12006581257714
2020-04-14,352.4009734376865
2020-04-15,357.91088637424525
2020-04-16,372.5743965179389
2020-04-17,355.2861492851549
2020-04-18,355.9294484089333
2020-04-19,352.4088683452303
2020-04-20,333.75088216900696
